id;nombre;nombre_tipo_articulo;id_familia;nombre_familia;id_marca;nombre_marca;moneda;nombre_moneda;tipo_igv;nombre_tipo_igv;nombre_unidad_medida;valor_compra_base;valor_venta_base;codigo_sunat;descripcion;especificacion_tecnica;stock_minimo;anio_garantia;stock_actual_empresa;formula;editar;eliminar
12955;SWITCH TP-LINK T2600G(TL-SG3424) ADMINISTRABLE DE 24 PUERTOS GIGABIT L2 CON 4 SFP;PRODUCTO;12;SWITCH;68;TP LINK;13;DÓLARES;14;GRAVADO;UND;11.80;220.00;43210000;;;-100000;1;0.000;;;
12956;KIT TECLADO + MOUSE ANTRYX GAMING XTREME  PRISTO 2 PLUS ( AGC -3170 K-SP );PRODUCTO;87;TECLADO + MOUSE;209;ANTRYX;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;35.00;43210000;;;-100000;1;0.000;;;
12957;TONER HP W9005MC;PRODUCTO;16;TONER;11;HP;12;SOLES;14;GRAVADO;UNIDAD;11.80;453.00;43210000;;;-100000;1;0.000;;;
12958;PLACA MSI AMD B350 GAMING PLUS  RYZEN DDR4 3.0;PRODUCTO;63;PLACA;27;MSI;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;108.01;43210000;;;-100000;1;0.000;;;
12959;CAMARA SONY DSC-HX80 UC2 SONY DIGITAL;PRODUCTO;52;CAMARA;50;SONY;12;SOLES;14;GRAVADO;UND;11.80;0.00;43210000;;;-100000;1;0.000;;;
12960;LAPTOP DELL INSPIRON 5378 13.3 TOUCHS I5 7200 8GB 1TB;PRODUCTO;82;LAPTOP;152;DELL;12;SOLES;14;GRAVADO;UND;11.80;2770.00;43210000;;;-100000;1;0.000;;;
12961;"LAPTOP LENOVO IDEAPAD 320 14"" INTEL CELERON N3350 1.10GHZ, 4GB/ 500GB  WINDOWS 10 HOME 64-BIT.";PRODUCTO;82;LAPTOP;137;LENOVO;12;SOLES;14;GRAVADO;UND;11.80;905.00;43210000;;;-100000;1;0.000;;;
12962;IMPRESORA MULTIF HP COLOR LASERJET PRO M180NW IMPRIME/ESCANEA/COPIA, USB/LAN/WI-FI.;PRODUCTO;23;IMPRESORA;11;HP;13;DÓLARES;14;GRAVADO;UND;11.80;335.00;43210000;;;-100000;1;0.000;;;
12963;AUDIFONO JBL T110 WIRED;PRODUCTO;15;AUDIFONOS;273;JBL;13;DÓLARES;14;GRAVADO;UND;11.80;9.50;43210000;;;-100000;1;0.000;;;
12964;SPK TE5021 CON USB/SD/FM BL;PRODUCTO;10;PARLANTE;220;TEROS;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;39.00;43210000;;;-100000;1;0.000;;;
12965;"DISCO SOLIDO SSD 900GB LENOVO P/ SERVIDOR TS GEN 5 3.5"" 10X EXTERORISE SAS 12GBPS";PRODUCTO;26;DISCOS;137;LENOVO;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;384.00;43210000;;;-100000;1;0.000;;;
12966;KIT TECLADO + MOUSE LOGITECH WIRELESS MK520;PRODUCTO;59;KIT MOUSE Y TECLADO;4;LOGITECH;12;SOLES;14;GRAVADO;UND;11.80;1.00;43210000;;;-100000;1;0.000;;;
12967;"MONITOR 24"" LED VIEWSONIC VX2476-SMHD IPS 1080P ULTRASLIM VGA/HDMI/DVI";PRODUCTO;77;MONITOR;47;VIEWSONIC;13;DÓLARES;14;GRAVADO;UND;11.80;214.00;43210000;;;-100000;1;0.000;;;
12968;PARL IBLUE BAZOOKA BLUETOOTH CH-M01 USB/MICRO-SD/FM/AUX 5W CAMUF;PRODUCTO;10;PARLANTE;238;IBLUE;12;SOLES;14;GRAVADO;UNIDAD;11.80;37.00;43210000;;;-100000;1;0.000;;;
12969;MOUSE GENIUS NX7015 WIRELESS BLUEEYE COLORES;PRODUCTO;34;MOUSE;3;GENIUS;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;9.00;43210000;;;-100000;1;2.000;;;
12970;KIT TECLADO + MOUSE LOGITECH WIRELESS MK345 CONFORT;PRODUCTO;59;KIT MOUSE Y TECLADO;4;LOGITECH;13;DÓLARES;14;GRAVADO;UNIDAD;29.00;27.95;43210000;;;-100000;1;0.000;;;
12971;PLACA MSI INTEL Z370 GAMING PRO CARBON LGA1151 DDR4;PRODUCTO;63;PLACA;27;MSI;12;SOLES;14;GRAVADO;UNIDAD;11.80;479.00;43210000;;;-100000;1;0.000;;;
12972;MOUSE COOLER MASTER MASTERMOUSE MM530 DPI 12000 (SGM-4007-KLLW1);PRODUCTO;34;MOUSE;157;COOLER MASTER;12;SOLES;14;GRAVADO;UNIDAD;11.80;126.00;43210000;;;-100000;1;0.000;;;
12973;"KIT MOCHILA SPORT TARGUS 15.6""+MORRAL+LONCHERA+ESTUCHE CAMUFLADO GREEN";PRODUCTO;49;MOCHILAS;93;TARGUS;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;23.00;43210000;;;-100000;1;0.000;;;
12974;ROUTER NEXXT KRONOS 301 WRISS-N WALL AEIEL304U2;PRODUCTO;32;ROUTER;133;NEXXT;12;SOLES;14;GRAVADO;UNIDAD;11.80;60.99;43210000;;;-100000;1;0.000;;;
12975;PARL  RAZER LEVIATHAN ELITE GAMING SOUNDBAR SUPPORTS BLUETOOTH 4.0 RZ05-01260100-R3U1;PRODUCTO;10;PARLANTE;193;RAZER;12;SOLES;14;GRAVADO;UND;11.80;729.00;43210000;;;-100000;1;0.000;;;
12976;DVR DAHUA 16 CANALES DHI-XVR4116HS-S2 PENTABRIDO 720P 1HDD;PRODUCTO;100;DVR;215;DAHUA;13;DÓLARES;14;GRAVADO;UND;11.80;84.00;43210000;;;-100000;1;0.000;;;
12977;CAMARA HIKVISION MINI BULLET DS-2CD1021-I (IP67/IR2);PRODUCTO;52;CAMARA;240;HIKVISION;12;SOLES;14;GRAVADO;UNIDAD;11.80;168.00;43210000;;;-100000;1;0.000;;;
12978;CAMARA HIKVISION IR FIXED DOME IP67/ IK10(ES201HIK34);PRODUCTO;52;CAMARA;240;HIKVISION;12;SOLES;14;GRAVADO;UNIDAD;11.80;176.00;43210000;;;-100000;1;0.000;;;
12979;CELULAR SONY XPERIA XA1LTE SS WHITE;PRODUCTO;86;CELULAR;50;SONY;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;277.00;43210000;;;-100000;1;0.000;;;
12980;POWERLINE NEXXT KIT SPARX201-W 300MBPS AELEL204U2 WIRELESS;PRODUCTO;90;POWER;133;NEXXT;12;SOLES;14;GRAVADO;UNIDAD;11.80;127.00;43210000;;;-100000;1;0.000;;;
